Symbol,Reserved1,PrimaryListingMarketParticipantID,PrimaryListingMarketPreviousClosingPrice,ConsolidatedClosingPrice,RoundLotSize,Reserved2,LULDTier,LULDLeverageRatio,Test,IPO,FinancialStatusIndicator,ShortSaleRestrictionIndicator,HaltReason,InstrumentType,Reserved3,Reserved4,Reserved5
ABLG,,Z,30.2487,30.2487,100,,2,1,0,0,0, , ,0,,,
ABLS,,Z,23.9544,23.9544,100,,2,1,0,0,0, , ,0,,,
ABM,,N,49.63,49.63,100,,2,1,0,0,0, , ,0,,,
AB,,N,40,40,100,,2,1,0,0,0, , ,0,,,
ABNY,,P,10.5265,10.5265,100,,2,1,0,0,0, , ,0,,,
ABOT,,Z,38.7353,38.7353,100,,2,1,0,0,0, , ,0,,,
ABR,,N,11.82,11.82,100,,2,1,0,0,0, , ,0,,,
ABRpD,,N,18.5,18.5,100,,2,1,0,0,0, , ,0,,,
ABRpE,,N,18.5,18.5,100,,2,1,0,0,0, , ,0,,,
ABRpF,,N,22.43,22.43,100,,2,1,0,0,0, , ,0,,,
ABT,,N,131.46,131.46,100,,1,1,0,0,0, , ,0,,,
ABXB,,Z,19.712,19.712,100,,2,1,0,0,0, , ,0,,,
ACA,,N,99.14,99.14,100,,2,1,0,0,0, , ,0,,,
ACCO,,N,3.97,3.97,100,,2,1,0,0,0, , ,0,,,
ACCS,,A,10.86,10.86,100,,2,1,0,0,0, , ,0,,,
ACEL,,N,11.55,11.55,100,,2,1,0,0,0, , ,0,,,
ACES,,P,29.6,29.6,100,,1,1,0,0,0, , ,0,,,
ACGR,,P,62.8897,62.8897,100,,2,1,0,0,0, , ,0,,,
ACHR,,N,9.15,9.15,100,,2,1,0,0,0, , ,0,,,
ACHR.WS,,N,2.27,2.27,100,,0,1,0,0,0, , ,0,,,
ACI,,N,19.53,19.53,100,,1,1,0,0,0, , ,0,,,
ACIO,,Z,42.52,42.52,100,,1,1,0,0,0, , ,0,,,
ACLC,,P,75.4,75.4,100,,2,1,0,0,0, , ,0,,,
ACLO,,N,50.465,50.465,100,,1,1,0,0,0, , ,0,,,
ACM,,N,125.64,125.64,100,,1,1,0,0,0, , ,0,,,
AC,,N,33.15,33.15,100,,2,1,0,0,0, , ,0,,,
ACN,,N,257.12,257.12,100,,1,1,0,0,0, , ,0,,,
ACP,,N,5.94,5.94,100,,2,1,0,0,0, , ,0,,,
ACPpA,,N,20.8516,20.8516,100,,2,1,0,0,0, , ,0,,,
ACRE,,N,4.63,4.63,100,,2,1,0,0,0, , ,0,,,
ACR,,N,20.85,20.85,100,,2,1,0,0,0, , ,0,,,
ACRpC,,N,25.46,25.46,100,,2,1,0,0,0, , ,0,,,
ACRpD,,N,22.34,22.34,100,,2,1,0,0,0, , ,0,,,
ACSI,,Z,66.0408,66.0408,100,,2,1,0,0,0, , ,0,,,
ACTV,,P,32.88,32.88,100,,2,1,0,0,0, , ,0,,,
ACU,,A,41.02,41.02,100,,2,1,0,0,0, , ,0,,,
ACVA,,N,11.51,11.51,100,,2,1,0,0,0, , ,0,,,
ACVF,,P,48.61,48.61,100,,2,1,0,0,0, , ,0,,,
ACV,,N,23.04,23.04,100,,2,1,0,0,0, , ,0,,,
ACVT,,P,26.725,26.725,100,,2,1,0,0,0, , ,0,,,
ACWV,,Z,119.16,119.16,100,,1,1,0,0,0, , ,0,,,
ADC,,N,72.8,72.8,100,,1,1,0,0,0, , ,0,,,
ADCpA,,N,18.047,18.047,100,,2,1,0,0,0, , ,0,,,
ADCT,,N,3.22,3.22,100,,2,1,0,0,0, , ,0,,,
ADFI,,Z,8.57,8.57,100,,2,1,0,0,0, , ,0,,,
ADIV,,P,18.051,18.051,100,,2,1,0,0,0, , ,0,,,
ADME,,Z,49.6883,49.6883,100,,2,1,0,0,0, , ,0,,,
ADM,,N,62.71,62.71,100,,1,1,0,0,0, , ,0,,,
AD,,N,54.28,54.28,100,,2,1,0,0,0, , ,0,,,
ADNT,,N,25.56,25.56,100,,2,1,0,0,0, , ,0,,,
ADPV,,P,40.9551,40.9551,100,,2,1,0,0,0, , ,0,,,
ADT,,N,8.76,8.76,100,,1,1,0,0,0, , ,0,,,
ADVE,,P,36.9036,36.9036,100,,2,1,0,0,0, , ,0,,,
ADX,,N,21.76,21.76,100,,2,1,0,0,0, , ,0,,,
AEE,,N,100.91,100.91,100,,1,1,0,0,0, , ,0,,,
AEF,,A,6.17,6.17,100,,2,1,0,0,0, , ,0,,,
AEFC,,N,20.43,20.43,100,,2,1,0,0,0, , ,0,,,
AEG,,N,7.81,7.81,100,,2,1,0,0,0, , ,0,,,
AEM,,N,139.5,139.5,100,,2,1,0,0,0, , ,0,,,
AEMS,,Z,10.37,10.37,100,,2,1,0,0,0, , ,0,,,
AEO,,N,13.22,13.22,100,,2,1,0,0,0, , ,0,,,
AEON,,A,0.77,0.77,100,,2,1,0,0,2, , ,0,,,
AER,,N,122.93,122.93,100,,2,1,0,0,0, , ,0,,,
AESI,,N,11.7,11.7,100,,2,1,0,0,0, , ,0,,,
AES,,N,13.36,13.36,100,,1,1,0,0,0, , ,0,,,
AESR,,Z,19.79,19.79,100,,2,1,0,0,0, , ,0,,,
AETH,,P,56.04,56.04,100,,2,1,0,0,0, , ,0,,,
AFB,,N,10.42,10.42,100,,2,1,0,0,0, , ,0,,,
AFGB,,N,22.34,22.34,100,,2,1,0,0,0, , ,0,,,
AFGC,,N,19.85,19.85,100,,2,1,0,0,0, , ,0,,,
AFGD,,N,21.44,21.44,100,,2,1,0,0,0, , ,0,,,
AFGE,,N,17.81,17.81,100,,2,1,0,0,0, , ,0,,,
AFG,,N,136.09,136.09,100,,1,1,0,0,0, , ,0,,,
AFIF,,Z,9.35,9.35,100,,2,1,0,0,0, , ,0,,,
AFIX,,P,25.0388,25.0388,100,,2,1,0,0,0, , ,0,,,
AFK,,P,22.372,22.372,100,,2,1,0,0,0, , ,0,,,
AFLG,,P,37.744,37.744,100,,1,1,0,0,0, , ,0,,,
AFL,,N,107.41,107.41,100,,1,1,0,0,0, , ,0,,,
AFMC,,P,33.725,33.725,100,,2,1,0,0,0, , ,0,,,
AFSM,,P,32.4806,32.4806,100,,2,1,0,0,0, , ,0,,,
AGCO,,N,113.86,113.86,100,,1,1,0,0,0, , ,0,,,
AGD,,N,11.79,11.79,100,,2,1,0,0,0, , ,0,,,
AGGH,,P,20.6,20.6,100,,1,1,0,0,0, , ,0,,,
AGG,,P,99.47,99.47,100,,1,1,0,0,0, , ,0,,,
AGGS,,P,41.255,41.255,100,,2,1,0,0,0, , ,0,,,
AGGY,,P,43.715,43.715,100,,1,1,0,0,0, , ,0,,,
AGI,,N,29.72,29.72,100,,2,1,0,0,0, , ,0,,,
AGL,,N,1.3,1.3,100,,2,1,0,0,0, , ,0,,,
AGM.A,,N,147,147,100,,2,1,0,0,0, , ,0,,,
AGM,,N,207.09,207.09,100,,2,1,0,0,0, , ,0,,,
AGMpD,,N,22.7773,22.7773,100,,2,1,0,0,0, , ,0,,,
AGMpE,,N,22.3206,22.3206,100,,2,1,0,0,0, , ,0,,,
AGMpF,,N,20.08,20.08,100,,2,1,0,0,0, , ,0,,,
AGMpG,,N,18.6053,18.6053,100,,2,1,0,0,0, , ,0,,,
AG,,N,9.08,9.08,100,,2,1,0,0,0, , ,0,,,
AGO,,N,82.06,82.06,100,,1,1,0,0,0, , ,0,,,
AGOX,,P,29.8615,29.8615,100,,2,1,0,0,0, , ,0,,,
AGQI,,P,15.7693,15.7693,100,,2,1,0,0,0, , ,0,,,
AGQ,,P,53.42,53.42,100,,2,2,0,0,0, , ,0,,,
AGRH,,P,26,26,100,,2,1,0,0,0, , ,0,,,
AGRO,,N,8.42,8.42,100,,2,1,0,0,0, , ,0,,,
AGRW,,P,29.2644,29.2644,100,,1,1,0,0,0, , ,0,,,
AGX,,N,226.87,226.87,100,,2,1,0,0,0, , ,0,,,
AGZ,,P,109.99,109.99,100,,1,1,0,0,0, , ,0,,,
AHH,,N,7.2,7.2,100,,2,1,0,0,0, , ,0,,,
AHHpA,,N,22.2759,22.2759,100,,2,1,0,0,0, , ,0,,,
AHL,,N,36.63,36.63,100,,2,1,0,0,0, , ,0,,,
AHLpD,,N,22,22,100,,2,1,0,0,0, , ,0,,,
AHLpE,,N,21.97,21.97,100,,2,1,0,0,0, , ,0,,,
AHLpF,,N,25.37,25.37,100,,2,1,0,0,0, , ,0,,,
AHLT,,P,22.4366,22.4366,100,,2,1,0,0,0, , ,0,,,
AHR,,N,42.73,42.73,100,,2,1,0,0,0, , ,0,,,
AHT,,N,6.12,6.12,100,,2,1,0,0,0, , ,0,,,
AHTpD,,N,17.7354,17.7354,100,,2,1,0,0,0, , ,0,,,
AHTpF,,N,14.9,14.9,100,,2,1,0,0,0, , ,0,,,
AHTpG,,N,16.49,16.49,100,,2,1,0,0,0, , ,0,,,
AHTpH,,N,15.31,15.31,100,,2,1,0,0,0, , ,0,,,
AHTpI,,N,15.01,15.01,100,,2,1,0,0,0, , ,0,,,
AHYB,,P,46.78,46.78,100,,2,1,0,0,0, , ,0,,,
AIBD,,P,8.65,8.65,100,,2,2,0,0,0, , ,0,,,
AIBU,,P,46.5013,46.5013,100,,2,2,0,0,0, , ,0,,,
AIEQ,,P,44.2,44.2,100,,2,1,0,0,0, , ,0,,,
AIG,,N,82.21,82.21,100,,1,1,0,0,0, , ,0,,,
AII,,N,19.47,19.47,100,,2,1,0,0,0, , ,0,,,
AIM,,A,2.5,2.5,100,,2,1,0,0,0, , ,0,,,
AI,,N,17.31,17.31,100,,2,1,0,0,0, , ,0,,,
AIN,,N,63.93,63.93,100,,2,1,0,0,0, , ,0,,,
AINP,,P,25.275,25.275,100,,1,1,0,0,0, , ,0,,,
AIO,,N,24.47,24.47,100,,2,1,0,0,0, , ,0,,,
AIOO,,Z,25.275,25.275,100,,2,1,0,0,0, , ,0,,,
AIRI,,A,3.16,3.16,100,,2,1,0,0,0, , ,0,,,
AIR,,N,75.82,75.82,100,,2,1,0,0,0, , ,0,,,
AIS,,P,30.298,30.298,100,,2,1,0,0,0, , ,0,,,
AIT,,N,268.4,268.4,100,,1,1,0,0,0, , ,0,,,
AIVC,,P,56.88,56.88,100,,2,1,0,0,0, , ,0,,,
AIVI,,P,50.1593,50.1593,100,,2,1,0,0,0, , ,0,,,
AIVL,,P,114.529,114.529,100,,2,1,0,0,0, , ,0,,,
AIV,,N,7.89,7.89,100,,2,1,0,0,0, , ,0,,,
AIYY,,P,2.7323,2.7323,100,,1,1,0,0,0, , ,0,,,
AIZ,,N,216.14,216.14,100,,1,1,0,0,0, , ,0,,,
AIZN,,N,20.9,20.9,100,,2,1,0,0,0, , ,0,,,
AJAN,,Z,27.374,27.374,100,,2,1,0,0,0, , ,0,,,
AJG,,N,298.72,298.72,100,,1,1,0,0,0, , ,0,,,
AJUL,,Z,28.35,28.35,100,,2,1,0,0,0, , ,0,,,
AKAF,,N,27.7506,27.7506,100,,2,1,0,0,0, , ,0,,,
AKA,,N,11.27,11.27,100,,2,1,0,0,0, , ,0,,,
AKO.A,,N,19.65,19.65,100,,2,1,0,0,0, , ,0,,,
AKO.B,,N,23.95,23.95,100,,2,1,0,0,0, , ,0,,,
AKR,,N,19.95,19.95,100,,2,1,0,0,0, , ,0,,,
ALAI,,P,33.87,33.87,100,,2,1,0,0,0, , ,0,,,
ALB,,N,87.68,87.68,100,,1,1,0,0,0, , ,0,,,
ALBpA,,N,40.61,40.61,100,,2,1,0,0,0, , ,0,,,
ALC,,N,81.36,81.36,100,,2,1,0,0,0, , ,0,,,
ALE,,N,64.33,64.33,100,,2,1,0,0,0, , ,0,,,
ALEX,,N,19.37,19.37,100,,2,1,0,0,0, , ,0,,,
ALG,,N,217.54,217.54,100,,2,1,0,0,0, , ,0,,,
ALIT,,N,3.91,3.91,100,,2,1,0,0,0, , ,0,,,
ALK,,N,61.84,61.84,100,,1,1,0,0,0, , ,0,,,
ALLE,,N,172,172,100,,1,1,0,0,0, , ,0,,,
ALL,,N,203.81,203.81,100,,1,1,0,0,0, , ,0,,,
ALLpB,,N,26.055,26.055,100,,2,1,0,0,0, , ,0,,,
ALLpH,,N,22.03,22.03,100,,2,1,0,0,0, , ,0,,,
ALLpI,,N,20.45,20.45,100,,2,1,0,0,0, , ,0,,,
ALLpJ,,N,27.285,27.285,100,,2,1,0,0,0, , ,0,,,
ALLY,,N,41.06,41.06,100,,1,1,0,0,0, , ,0,,,
AL,,N,60.51,60.51,100,,1,1,0,0,0, , ,0,,,
ALRG,,P,26.0207,26.0207,100,,2,1,0,0,0, , ,0,,,
ALSN,,N,89.2,89.2,100,,1,1,0,0,0, , ,0,,,
ALTG,,N,8.34,8.34,100,,2,1,0,0,0, , ,0,,,
ALTGpA,,N,25.55,25.55,100,,2,1,0,0,0, , ,0,,,
ALTL,,P,40.813,40.813,100,,2,1,0,0,0, , ,0,,,
ALUR,,N,2.19,2.19,100,,2,1,0,0,2, , ,0,,,
ALUR.WS,,N,0.0289,0.0289,100,,0,1,0,0,2,E, ,0,,,
ALV,,N,124.01,124.01,100,,2,1,0,0,0, , ,0,,,
ALX,,N,235.08,235.08,100,,2,1,0,0,0, , ,0,,,
AMAX,,P,7.9255,7.9255,100,,2,1,0,0,0, , ,0,,,
AMBC,,N,8.85,8.85,100,,2,1,0,0,0, , ,0,,,
AMBI,,A,4.93,4.93,100,,2,1,0,0,0, , ,0,,,
AMBI.WS,,A,0.1849,0.1849,100,,0,1,0,0,0, , ,0,,,
AMBO,,A,3.6255,3.6255,100,,2,1,0,0,0, , ,0,,,
AMBP,,N,3.69,3.69,100,,2,1,0,0,0, , ,0,,,
AMBP.WS,,N,0.0217,0.0217,100,,0,1,0,0,0, , ,0,,,
AMBQ,,N,39.83,39.83,100,,2,1,0,0,0, , ,0,,,
AMC,,N,2.84,2.84,100,,2,1,0,0,0, , ,0,,,
AMCR,,N,8.51,8.51,100,,1,1,0,0,0, , ,0,,,
AMDW,,Z,49.71,49.71,100,,2,1,0,0,0, , ,0,,,
AMDY,,P,8.01,8.01,100,,1,1,0,0,0, , ,0,,,
AME,,N,186.55,186.55,100,,1,1,0,0,0, , ,0,,,
AMG,,N,227.79,227.79,100,,1,1,0,0,0, , ,0,,,
AMH,,N,35.55,35.55,100,,1,1,0,0,0, , ,0,,,
AMHpG,,N,23.535,23.535,100,,2,1,0,0,0, , ,0,,,
AMHpH,,N,24.78,24.78,100,,2,1,0,0,0, , ,0,,,
AMJB,,P,30.3811,30.3811,100,,2,1,0,0,0, , ,0,,,
AMLP,,P,48.2,48.2,100,,1,1,0,0,0, , ,0,,,
AM,,N,17.71,17.71,100,,1,1,0,0,0, , ,0,,,
AMN,,N,20.11,20.11,100,,2,1,0,0,0, , ,0,,,
AMOM,,P,45.8854,45.8854,100,,2,1,0,0,0, , ,0,,,
AMP,,N,518.26,518.26,100,,1,1,0,0,0, , ,0,,,
AMPX,,N,7.3,7.3,100,,2,1,0,0,0, , ,0,,,
AMPX.WS,,N,1.77,1.77,100,,0,1,0,0,0,E, ,0,,,
AMPY,,N,4.07,4.07,100,,2,1,0,0,0, , ,0,,,
AMRC,,N,24.54,24.54,100,,2,1,0,0,0, , ,0,,,
AMR,,N,145.62,145.62,100,,2,1,0,0,0, , ,0,,,
AMRZ,,N,51.96,51.96,100,,2,1,0,0,0, , ,0,,,
AMS,,A,2.46,2.46,100,,2,1,0,0,0, , ,0,,,
AMTB,,N,21.43,21.43,100,,2,1,0,0,0, , ,0,,,
AMTD,,N,1.0306,1.0306,100,,2,1,0,0,0, , ,0,,,
AMTM,,N,25.17,25.17,100,,1,1,0,0,0, , ,0,,,
AMT,,N,203.27,203.27,100,,1,1,0,0,0, , ,0,,,
AMUB,,P,19.0333,19.0333,100,,2,1,0,0,0, , ,0,,,
AMWL,,N,6.95,6.95,100,,2,1,0,0,0, , ,0,,,
AMX,,N,19.91,19.91,100,,2,1,0,0,0, , ,0,,,
AMZA,,P,42.61,42.61,100,,2,1,0,0,0, , ,0,,,
AMZE,,A,3,3,100,,2,1,0,0,0, , ,0,,,
AMZP,,Z,29.7693,29.7693,100,,2,1,0,0,0, , ,0,,,
AMZW,,Z,49.47,49.47,100,,2,1,0,0,0, , ,0,,,
AMZY,,P,15.1497,15.1497,100,,1,1,0,0,0, , ,0,,,
A,,N,118.69,118.69,100,,1,1,0,0,0, , ,0,,,
ANET,,N,133.27,133.27,100,,1,1,0,0,0, , ,0,,,
ANEW,,P,50.9596,50.9596,100,,2,1,0,0,0, , ,0,,,
ANF,,N,95.36,95.36,100,,2,1,0,0,0, , ,0,,,
ANGpB,,N,25.0814,25.0814,100,,2,1,0,0,0, , ,0,,,
ANGpD,,N,25.445,25.445,100,,2,1,0,0,0, , ,0,,,
AN,,N,222.08,222.08,100,,1,1,0,0,0, , ,0,,,
ANRO,,N,4.12,4.12,100,,2,1,0,0,0, , ,0,,,
ANVS,,N,2.35,2.35,100,,2,1,0,0,2, , ,0,,,
AOA,,P,85.79,85.79,100,,1,1,0,0,0, , ,0,,,
AOCT,,Z,26.03,26.03,100,,2,1,0,0,0, , ,0,,,
AOD,,N,9.11,9.11,100,,2,1,0,0,0, , ,0,,,
AOK,,P,39.56,39.56,100,,1,1,0,0,0, , ,0,,,
AOMD,,N,25.25,25.25,100,,2,1,0,0,0, , ,0,,,
AOMN,,N,25.6001,25.6001,100,,2,1,0,0,0, , ,0,,,
AOM,,P,46.69,46.69,100,,1,1,0,0,0, , ,0,,,
AOMR,,N,9.64,9.64,100,,2,1,0,0,0, , ,0,,,
AON,,N,368.37,368.37,100,,1,1,0,0,0, , ,0,,,
AOR,,P,62.84,62.84,100,,1,1,0,0,0, , ,0,,,
AORT,,N,43.74,43.74,100,,2,1,0,0,0, , ,0,,,
AOS,,N,72.42,72.42,100,,1,1,0,0,0, , ,0,,,
APAM,,N,47.43,47.43,100,,2,1,0,0,0, , ,0,,,
APCB,,P,29.64,29.64,100,,1,1,0,0,0, , ,0,,,
APD,,N,294.59,294.59,100,,1,1,0,0,0, , ,0,,,
APG,,N,36.34,36.34,100,,1,1,0,0,0, , ,0,,,
APH,,N,110.13,110.13,100,,1,1,0,0,0, , ,0,,,
APIE,,P,34.1117,34.1117,100,,1,1,0,0,0, , ,0,,,
APLE,,N,13.17,13.17,100,,2,1,0,0,0, , ,0,,,
APLU,,P,24.955,24.955,100,,1,1,0,0,0, , ,0,,,
APLY,,P,13.1635,13.1635,100,,2,1,0,0,0, , ,0,,,
APMU,,P,24.955,24.955,100,,2,1,0,0,0, , ,0,,,
AP,,N,2.76,2.76,100,,2,1,0,0,0, , ,0,,,
APOC,,Z,25.8047,25.8047,100,,2,1,0,0,0, , ,0,,,
APO,,N,135.72,135.72,100,,1,1,0,0,0, , ,0,,,
APOpA,,N,71.71,71.71,100,,2,1,0,0,0, , ,0,,,
APOS,,N,26.77,26.77,100,,2,1,0,0,0, , ,0,,,
APRH,,Z,25.0454,25.0454,100,,2,1,0,0,0, , ,0,,,
APRJ,,Z,24.87,24.87,100,,2,1,0,0,0, , ,0,,,
APRP,,Z,28.7521,28.7521,100,,2,1,0,0,0, , ,0,,,
APRT,,P,40.25,40.25,100,,2,1,0,0,0, , ,0,,,
APRW,,P,33.95,33.95,100,,2,1,0,0,0, , ,0,,,
APRZ,,Z,36.9634,36.9634,100,,2,1,0,0,0, , ,0,,,
APT,,A,4.85,4.85,100,,2,1,0,0,0, , ,0,,,
APTV,,N,79.95,79.95,100,,1,1,0,0,0, , ,0,,,
APUE,,P,39.56,39.56,100,,1,1,0,0,0, , ,0,,,
APUS,,A,1.89,1.89,100,,2,1,0,0,0, , ,0,,,
APXM,,Z,30.5052,30.5052,100,,2,1,0,0,0, , ,0,,,
AQLT,,Z,26.2727,26.2727,100,,2,1,0,0,0, , ,0,,,
AQNB,,N,25.64,25.64,100,,2,1,0,0,0, , ,0,,,
AQN,,N,5.81,5.81,100,,2,1,0,0,0, , ,0,,,
ARB,,P,28.8855,28.8855,100,,2,1,0,0,0, , ,0,,,
ARCM,,Z,100.465,100.465,100,,2,1,0,0,0, , ,0,,,
ARCO,,N,6.96,6.96,100,,2,1,0,0,0, , ,0,,,
ARCX,,Z,13.7599,13.7599,100,,2,2,0,0,0, , ,0,,,
ARDC,,N,14.53,14.53,100,,2,1,0,0,0, , ,0,,,
ARDT,,N,12.71,12.71,100,,2,1,0,0,0, , ,0,,,
AREA,,P,19.1717,19.1717,100,,2,1,0,0,0, , ,0,,,
ARE,,N,81.72,81.72,100,,1,1,0,0,0, , ,0,,,
AREN,,A,6.17,6.17,100,,2,1,0,0,0, , ,0,,,
ARES,,N,179.51,179.51,100,,1,1,0,0,0, , ,0,,,
ARESpB,,N,55.219,55.219,100,,2,1,0,0,0, , ,0,,,
ARGD,,N,25.35,25.35,100,,2,1,0,0,0, , ,0,,,
ARGOpA,,N,25.37,25.37,100,,2,1,0,0,0, , ,0,,,
ARGT,,P,79.04,79.04,100,,1,1,0,0,0, , ,0,,,
ARI,,N,10.36,10.36,100,,2,1,0,0,0, , ,0,,,
ARIS,,N,23.86,23.86,100,,2,1,0,0,0, , ,0,,,
ARKA,,Z,68.9738,68.9738,100,,2,1,0,0,0, , ,0,,,
ARKB,,Z,37.25,37.25,100,,1,1,0,0,0, , ,0,,,
ARKD,,Z,60.7674,60.7674,100,,2,1,0,0,0, , ,0,,,
ARKF,,Z,53.35,53.35,100,,1,1,0,0,0, , ,0,,,
ARKG,,Z,24.72,24.72,100,,1,1,0,0,0, , ,0,,,
ARKK,,Z,75.52,75.52,100,,1,1,0,0,0, , ,0,,,
ARKQ,,Z,99.24,99.24,100,,1,1,0,0,0, , ,0,,,
ARKW,,Z,157.24,157.24,100,,1,1,0,0,0, , ,0,,,
ARKX,,Z,26.39,26.39,100,,1,1,0,0,0, , ,0,,,
ARKZ,,Z,47.592,47.592,100,,2,1,0,0,0, , ,0,,,
ARL,,N,15.43,15.43,100,,2,1,0,0,0, , ,0,,,
ARLO,,N,17.58,17.58,100,,2,1,0,0,0, , ,0,,,
ARLU,,Z,28.9142,28.9142,100,,2,1,0,0,0, , ,0,,,
ARMH,,P,60.5463,60.5463,100,,2,1,0,0,0, , ,0,,,
ARMK,,N,39.51,39.51,100,,1,1,0,0,0, , ,0,,,
ARMN,,A,8.14,8.14,100,,2,1,0,0,0, , ,0,,,
ARMP,,A,2.44,2.44,100,,2,1,0,0,0, , ,0,,,
ARMU,,Z,26.3797,26.3797,100,,2,2,0,0,0, , ,0,,,
AR,,N,31.3,31.3,100,,1,1,0,0,0, , ,0,,,
AROC,,N,24.53,24.53,100,,2,1,0,0,0, , ,0,,,
ARP,,P,29.1835,29.1835,100,,2,1,0,0,0, , ,0,,,
ARR,,N,15.08,15.08,100,,2,1,0,0,0, , ,0,,,
ARRpC,,N,21.96,21.96,100,,2,1,0,0,0, , ,0,,,
ARTY,,P,42.79,42.79,100,,1,1,0,0,0, , ,0,,,
ARW,,N,127.78,127.78,100,,1,1,0,0,0, , ,0,,,
ARX,,N,29.29,29.29,100,,2,1,0,0,0, , ,0,,,
ASA,,N,36.94,36.94,100,,2,1,0,0,0, , ,0,,,
ASAN,,N,14.33,14.33,100,,2,1,0,0,0, , ,0,,,
ASBA,,N,24.75,24.75,100,,2,1,0,0,0, , ,0,,,
ASB,,N,26.94,26.94,100,,2,1,0,0,0, , ,0,,,
ASBpE,,N,21.68,21.68,100,,2,1,0,0,0, , ,0,,,
ASBpF,,N,20.94,20.94,100,,2,1,0,0,0, , ,0,,,
ASCE,,P,26.6794,26.6794,100,,2,1,0,0,0, , ,0,,,
ASC,,N,11.58,11.58,100,,2,1,0,0,0, , ,0,,,
ASEA,,P,17.27,17.27,100,,2,1,0,0,0, , ,0,,,
ASGI,,N,20.64,20.64,100,,2,1,0,0,0, , ,0,,,
ASGM,,P,25.7814,25.7814,100,,2,1,0,0,0, , ,0,,,
ASG,,N,5.56,5.56,100,,2,1,0,0,0, , ,0,,,
ASGN,,N,53.35,53.35,100,,2,1,0,0,0, , ,0,,,
ASH,,N,56.52,56.52,100,,1,1,0,0,0, , ,0,,,
ASHR,,P,30.9,30.9,100,,1,1,0,0,0, , ,0,,,
ASHS,,P,34.4966,34.4966,100,,2,1,0,0,0, , ,0,,,
ASIA,,P,30.803,30.803,100,,2,1,0,0,0, , ,0,,,
ASIC,,N,23.37,23.37,100,,2,1,0,0,0, , ,0,,,
ASIX,,N,20.82,20.82,100,,2,1,0,0,0, , ,0,,,
ASLV,,P,27.4063,27.4063,100,,1,1,0,0,0, , ,0,,,
ASM,,A,4.39,4.39,100,,2,1,0,0,0, , ,0,,,
ASMF,,P,22.7256,22.7256,100,,2,1,0,0,0, , ,0,,,
ASMH,,P,52.3058,52.3058,100,,2,1,0,0,0, , ,0,,,
AS,,N,41.05,41.05,100,,1,1,0,0,0, , ,0,,,
ASPN,,N,7.02,7.02,100,,2,1,0,0,0, , ,0,,,
ASR,,N,328.8,328.8,100,,2,1,0,0,0, , ,0,,,
ASTX,,Z,27.93,27.93,100,,2,2,0,0,0, , ,0,,,
ASX,,N,10.02,10.02,100,,2,1,0,0,0, , ,0,,,
ATCH,,A,0.1926,0.1926,100,,2,1,0,0,0, , ,0,,,
ATCOpH,,N,26.5768,26.5768,100,,2,1,0,0,0, , ,0,,,
ATEN,,N,17.45,17.45,100,,2,1,0,0,0, , ,0,,,
ATEST,,A,24.517172,24.517172,100,,2,1,1,0,0, , ,0,,,
ATEST.A,,A,25,25,100,,2,1,1,0,0, , ,0,,,
ATEST.B,,A,25,25,100,,2,1,1,0,0, , ,0,,,
