standardized_symbol,exchange,_in_t1,_in_t2,_in_t3,_in_t4,_in_t5,_in_t6,_in_t7,_in_t8,_in_t9,confidence_score,lot,halt_reason,sic_code,status,primary_listing,currency,share_class_figi,share_class_shares_outstanding,locale,market_capital_1,margin_requirement_short,sector,name,scalerevenue,earnings_announcement,location,shares_outstanding,figi,type,isin,country,sic_industry,composite_symbol,margin_requirement_long,homepage_url,weighted_shares_outstanding,industry,symbol,scalemarketcap,description,shortable,tradable,short_sale_restricted,composite_figi,sic_description,etf,fama_industry,easy_to_borrow,marginable,maintenance_margin_requirement,branding,cusips,market_capital_2,fama_sector,sic_sector,cik,na_symbol,na_name,na_status,na_lot,na_etf,ny_symbol,ny_status,ny_short_sale_restricted,ny_halt_reason,it_symbol,it_type,it_name,it_currency,it_composite_symbol,it_figi,it_composite_figi,it_share_class_figi,it_primary_listing,ed_symbol,ed_type,ed_name,ed_country,ed_currency,ed_isin,pl_symbol,pl_type,pl_name,pl_locale,pl_status,pl_currency,pl_composite_figi,pl_share_class_figi,pl_share_class_shares_outstanding,pl_cik,pl_sic_code,pl_sic_description,pl_location,pl_market_capital_2,pl_description,pl_homepage_url,pl_branding,pl_weighted_shares_outstanding,sh_symbol,sh_type,sh_name,sh_currency,sh_location,sh_cusips,sh_sic_code,sh_sic_sector,sh_sic_industry,sh_fama_sector,sh_fama_industry,sh_sector,sh_industry,sh_scalemarketcap,sh_scalerevenue,sh_cik,sh_homepage_url,fp_symbol,fp_type,fp_name,fp_market_capital_1,fp_earnings_announcement,fp_shares_outstanding,av_symbol,av_name,av_status,al_symbol,al_name,al_status,al_tradable,al_marginable,al_maintenance_margin_requirement,al_margin_requirement_long,al_margin_requirement_short,al_shortable,al_easy_to_borrow
NTESTK,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,NTEST.K,,,,, ,,,,,,,,,,,,,,,,,,,NTEST.K,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-K,,Active,,,,,,,,,,
NTESTL,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,NTEST.L,,,,, ,,,,,,,,,,,,,,,,,,,NTEST.L,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-L,,Active,,,,,,,,,,
NTESTM,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,NTEST.M,,,,, ,,,,,,,,,,,,,,,,,,,NTEST.M,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-M,,Active,,,,,,,,,,
NTESTN,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,NTEST.N,,,,, ,,,,,,,,,,,,,,,,,,,NTEST.N,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-N,,Active,,,,,,,,,,
NTESTO,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,NTEST.O,,,,, ,,,,,,,,,,,,,,,,,,,NTEST.O,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-O,,Active,,,,,,,,,,
NTESTP,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,NTEST.P,,,,, ,,,,,,,,,,,,,,,,,,,NTEST.P,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-P,,Active,,,,,,,,,,
NTESTQ,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,NTEST.Q,,,,, ,,,,,,,,,,,,,,,,,,,NTEST.Q,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-Q,,Active,,,,,,,,,,
NTESTY,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,NTEST.Y,,,,, ,,,,,,,,,,,,,,,,,,,NTEST.Y,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-Y,,Active,,,,,,,,,,
NTESTZ,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,NTEST.Z,,,,, ,,,,,,,,,,,,,,,,,,,NTEST.Z,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTEST-Z,,Active,,,,,,,,,,
PCGPX,XNYS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,, ,,Normal,,,,,,,,,,,,,,,,,,,,,,,,PCGpX,,,,, ,,,,,,,,,,,,,,,,,,,PCGpX,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QXOPB,XNYS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,, ,7389.0,Normal,,USD,,,,,,Technology,QXO INC,,,New Jersey; U.S.A,,,EQS,,,Services-Business Services Nec,,,http://www.silversuntech.com,,Software - Application,QXOpB,,,,, ,,,,Business Services,,,,,82846H504,,,Services,0001236275,,,,,,QXOpB,Normal, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QXO-PB,EQS,QXO INC,USD,New Jersey; U.S.A,82846H504,7389.0,Services,Services-Business Services Nec,,Business Services,Technology,Software - Application,,,0001236275,http://www.silversuntech.com,,,,,,,,,,,,,,,,,,,
RPTPC,XNYS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,, ,6798,Normal,,USD,,,us,,,,Rithm Property Trust Inc. 9.875% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,,,"{'address1': '799 BROADWAY', 'address2': 'FLOOR 8', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10022'}",,,PRF,,,,,,https://www.rithmpropertytrust.com,,,RPTpC,,Rithm Property Trust Inc is a real estate investment trust (REIT) externally managed by an affiliate of Rithm Capital Corp. (Rithm). The group is embarking on a new commercial real estate-focused investment. Its tailored approach to investment management seeks to generate attractive risk-adjusted returns for stockholders over the long term through dividends and capital appreciation.,,, ,,REAL ESTATE INVESTMENT TRUSTS,,,,,,,,,,,0001614806,,,,,,RPTpC,Normal, , ,,,,,,,,,,,,,,,,RPTpC,PRF,Rithm Property Trust Inc. 9.875% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,us,True,USD,,,,0001614806,6798,REAL ESTATE INVESTMENT TRUSTS,"{'address1': '799 BROADWAY', 'address2': 'FLOOR 8', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10022'}",,Rithm Property Trust Inc is a real estate investment trust (REIT) externally managed by an affiliate of Rithm Capital Corp. (Rithm). The group is embarking on a new commercial real estate-focused investment. Its tailored approach to investment management seeks to generate attractive risk-adjusted returns for stockholders over the long term through dividends and capital appreciation.,https://www.rithmpropertytrust.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THH,XNAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,100.0,,,Normal,,,,,,,30.0,,TryHard Holdings Limited - Ordinary Shares,,,,,,,,,,,30.0,,,,THH,,,False,True,,,,N,,False,True,30.0,,,,,,,THH,TryHard Holdings Limited - Ordinary Shares,Normal,100.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THH,TryHard Holdings Limited Ordinary Shares,active,True,True,30.0,30.0,30.0,False,False
TRTNPF,XNYS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,, ,7359,Normal,,USD,,,us,,,,Triton International Limited 7.625% Series F Cumulative Redeemable Perpetual Preference Shares,,,"{'address1': 'VICTORIA PLACE, 5TH FLOOR', 'address2': '31 VICTORIA STREET', 'city': 'HAMILTON', 'state': 'D0', 'postal_code': 'HM 10'}",,,PRF,,,,,,https://www.trtn.com,,,TRTNpF,,"Triton International Ltd operates as a lessor of intermodal containers. It also leases chassis which are used for the transportation of containers. The company's operating segments are Equipment leasing and Equipment trading. It has a presence in Asia, Europe, America, Bermuda, and Other countries. The company leases equipment such as Dry freight, Refrigerated, Special, Chassis, and Tank containers. The revenue is generated from the Equipment leasing segment.",,, ,,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",,,,,,,,,,,0001660734,,,,,,TRTNpF,Normal, , ,,,,,,,,,,,,,,,,TRTNpF,PRF,Triton International Limited 7.625% Series F Cumulative Redeemable Perpetual Preference Shares,us,True,USD,,,,0001660734,7359,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC","{'address1': 'VICTORIA PLACE, 5TH FLOOR', 'address2': '31 VICTORIA STREET', 'city': 'HAMILTON', 'state': 'D0', 'postal_code': 'HM 10'}",,"Triton International Ltd operates as a lessor of intermodal containers. It also leases chassis which are used for the transportation of containers. The company's operating segments are Equipment leasing and Equipment trading. It has a presence in Asia, Europe, America, Bermuda, and Other countries. The company leases equipment such as Dry freight, Refrigerated, Special, Chassis, and Tank containers. The revenue is generated from the Equipment leasing segment.",https://www.trtn.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
