exchange|confidence_score|al_symbol|lot|halt_reason|sic_code|status|primary_listing|currency|share_class_figi|share_class_shares_outstanding|locale|margin_requirement_short|sector|name|scalerevenue|earnings_announcement|location|shares_outstanding|figi|type|isin|country|sic_industry|composite_symbol|margin_requirement_long|homepage_url|weighted_shares_outstanding|industry|symbol|scalemarketcap|description|shortable|tradable|short_sale_restricted|composite_figi|sic_description|fama_industry|easy_to_borrow|marginable|maintenance_margin_requirement|branding|cusips|fama_sector|sic_sector|cik|market_capital|null_count
XNYS|7.0||||2820|Normal|False|USD||700000.0|us||Basic Materials|E.I. Du Pont De Nemours and Co||2025-07-30T20:00:00.000+0000|9330 ZIONSVILLE ROAD, INDIANAPOLIS, IN, 46268|200.0|BBG000002791|PRF|US2635342080|USA|Plastic Material Synth Resin/Rubber Cellulos (No Glass)|CTApA:US||https://www.corteva.com||Chemicals|CTApA||EIDP Inc provides Agricultural solutions to the farmers. The company operates in two segments: seed and crop protection. The seed segment develops and supplies commercial seed combining superior germplasm with traits to produce high yield potential for farmers, while the crop protection segment supplies products to protect crop yields against weeds, insects, and disease. Some of its products include Corn, Soybean, oilseeds, Fungicides, Herbicides, and Insecticides. Its geographical segments include United States, EMEA(Europe, the Middle East, and Africa), Canada, Latin America, and the Asia Pacific. Nearly half of the revenue comes from United States.|||||PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)|Chemicals||||/Y29ydGV2YS5jb20/images/2025-04-04_logo.svg|263534208||Manufacturing|0000030554|11044.0|17
XNYS|7.0||||6798|Normal|False|USD||3000000.0|us||Real Estate|Rexford Industrial Realty Inc||2025-10-15T12:00:00.000+0000|11620 WILSHIRE BOULEVARD, SUITE 1000, LOS ANGELES, CA, 90025|236672000.0|BBG00Q8J3Y59|PRF|US76169C4078|USA|Real Estate Investment Trusts|REXRpC:US||https://www.rexfordindustrial.com||REIT - Industrial|REXRpC||Rexford Industrial Realty Inc is a real estate investment trust engaged in owning, operating, and acquiring industrial properties in Southern California infill markets. The goal is to generate attractive risk-adjusted returns for stockholders by providing superior access to industrial property investments in Southern California infill markets. It has one operating segment business of investing in, operating, and repositioning/redeveloping industrial real estate properties located in Southern California infill markets.|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/cmV4Zm9yZGluZHVzdHJpYWwuY29t/images/2025-04-04_logo.svg|76169C407||Finance Insurance And Real Estate|0001571283|5235184640.0|17
XNYS|7.0||||6798|Normal|True|USD||4480000.0|us||Real Estate|City Office REIT Inc||2025-10-29T12:30:00.000+0000|SUITE 3210 - 666 BURRARD STREET, VANCOUVER, A1, V6C 2X8|11238238.0|BBG00DX7THD6|PRF|US1785872003|USA|Real Estate Investment Trusts|CIOpA:US||https://www.cioreit.com||REIT - Office|CIOpA||City Office REIT Inc is a real estate investment trust. It is focused on acquiring, owning, and operating high-quality office properties located predominantly in Sun Belt markets. The principal objective of the company is to provide attractive risk-adjusted returns to its investors over the long-term through a combination of dividends and capital appreciation. Its properties includes: Pima Center, SanTan, Park Tower, Intellicenter, Intellicenter, Denver Tech, Canyon Park, AmberGlen and many. The company own these office buildings in the metropolitan areas of Dallas, Denver, Orlando, Phoenix, Portland, Raleigh, San Diego, Seattle, and Tampa.|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/Y2lvcmVpdC5jb20/images/2025-04-04_logo.svg|178587200||Finance Insurance And Real Estate|0001593222|1006668184.0|17
XNYS|7.0||||6798|Normal|False|USD||8400000.0|us||Real Estate|Digital Realty Trust Inc||2025-10-23T12:00:00.000+0000|2323 BRYAN STREET, SUITE 1800, DALLAS, TX, 75201|2359220722.0|BBG00NJ3RVD0|PRF|US2538688308|USA|Real Estate Investment Trusts|DLRpK:US||https://www.digitalrealty.com||REIT - Specialty|DLRpK||"Digital Realty owns and operates over 300 data centers worldwide. It has nearly 40 million rentable square feet across five continents. Digital's offerings range from retail co-location, where an enterprise may rent a single cabinet and rely on Digital to provide all the accommodations, to ""cold shells,"" where hyperscale cloud service providers can simply rent much, or all, of a barren, power-connected building. In recent years, Digital Realty has de-emphasized cold shells and now primarily provides higher-level service to tenants, which outsource their related IT needs to Digital. The company operates as a real estate investment trust."|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/ZGlnaXRhbHJlYWx0eS5jb20/images/2025-04-04_logo.svg|253868830||Finance Insurance And Real Estate|0001297996|58463963213.0|17
XNYS|7.0||||6798|Normal|True|USD||13000000.0|us||Real Estate|Chimera Investment Corp||2025-10-30T12:00:00.000+0000|630 FIFTH AVENUE, SUITE 2044, NEW YORK, NY, 10111|44817099.0|BBG00G2HF7Z4|PRF|US16934Q4064|USA|Real Estate Investment Trusts|CIMpB:US||https://www.chimerareit.com||REIT - Mortgage|CIMpB||Chimera Investment Corporation is a real estate investment trust engaged in investing in a portfolio of mortgage assets on a leveraged basis. These investments include a variety of government-sponsored agency residential mortgage-backed securities, or RMBS, non-agency RMBS, agency commercial mortgage-backed securities, residential mortgage loans, and other real estate-related securities. Agency mortgage-backed securities represent the share of this portfolio, while subprime residential mortgage loans and non-agency RMBS also make up substantial shares.|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/Y2hpbWVyYXJlaXQuY29t/images/2025-04-04_logo.svg|16934Q406||Finance Insurance And Real Estate|0001409493|1115049995.0|17
XNYS|7.0||||6798|Normal|True|USD||7800000.0|us||Real Estate|Pennymac Mortgage Investment Trust||2025-10-23T12:00:00.000+0000|3043 TOWNSGATE ROAD, WESTLAKE VILLAGE, CA, 91361|43652433.0|BBG00H1NRMV8|PRF|US70931T4004|USA|Real Estate Investment Trusts|PMTpB:US||https://www.pennymacmortgageinvestmenttrust.com||REIT - Mortgage|PMTpB||PennyMac Mortgage Investment Trust is a specialty finance company that invests primarily in residential mortgage loans and mortgage-related assets. The company's operations include activities such as the production and servicing of financial securities based on residential loans and the pooling and reselling of high-credit-quality mortgages. The company operates through three segments: correspondent production, credit-sensitive strategies, interest-rate-sensitive strategies. The Credit sensitive strategies segment generates income via investments in CRT arrangements, subordinate MBS, distressed loans, and real estate.|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/cGVubnltYWNtb3J0Z2FnZWludmVzdG1lbnR0cnVzdC5jb20/images/2025-04-04_logo.png|70931T400||Finance Insurance And Real Estate|0001464423|1076951278.0|17
XNYS|7.0||||6798|Normal|True|USD||4600000.0|us||Real Estate|Pennymac Mortgage Investment Trust||2025-10-23T12:00:00.000+0000|3043 TOWNSGATE ROAD, WESTLAKE VILLAGE, CA, 91361|43893335.0|BBG00G4XXT34|PRF|US70931T3014|USA|Real Estate Investment Trusts|PMTpA:US||https://www.pennymacmortgageinvestmenttrust.com||REIT - Mortgage|PMTpA||PennyMac Mortgage Investment Trust is a specialty finance company that invests primarily in residential mortgage loans and mortgage-related assets. The company's operations include activities such as the production and servicing of financial securities based on residential loans and the pooling and reselling of high-credit-quality mortgages. The company operates through three segments: correspondent production, credit-sensitive strategies, interest-rate-sensitive strategies. The Credit sensitive strategies segment generates income via investments in CRT arrangements, subordinate MBS, distressed loans, and real estate.|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/cGVubnltYWNtb3J0Z2FnZWludmVzdG1lbnR0cnVzdC5jb20/images/2025-04-04_logo.png|70931T301||Finance Insurance And Real Estate|0001464423|1089082555.0|17
XNYS|7.0||||6798|Normal|True|USD||9017588.0|us||Real Estate|National Storage Affiliates Trust||2025-10-28T10:59:00.000+0000|8400 E. PRENTICE AVENUE, 9TH FLOOR, GREENWOOD VILLAGE, CO, 80111|100899999.0|BBG00HW3ZYN2|PRF|US6378702053|USA|Real Estate Investment Trusts|NSApA:US||https://ir.nsastorage.com||REIT - Industrial|NSApA||National Storage Affiliates Trust Trust is a real estate investment trust. The company owns, operates, and acquires self-storage properties located within the metropolitan statistical areas throughout the United States. With the help of property management platform, the company manages and controls the day-to-day operations and affairs of consolidated properties and unconsolidated real estate ventures under the iStorage, SecurCare, RightSpace, Northwest and Move It brands.|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/aXIubnNhc3RvcmFnZS5jb20/images/2025-04-04_logo.png|637870205||Finance Insurance And Real Estate|0001618563|2297492977.0|17
XNYS|7.0||||6798|Normal|True|USD||9200000.0|us||Real Estate|SL Green Realty Corp.||2025-10-15T12:00:00.000+0000|ONE VANDERBILT AVENUE, NEW YORK, NY, 10017|166570703.0|BBG0038SRWT2|PRF|US78440X5077|USA|Real Estate Investment Trusts|SLGpI:US||https://www.slgreen.com||REIT - Office|SLGpI||SL Green Realty is one of the largest Manhattan property owners and landlords, with interest in around 32 million square feet of wholly owned and joint-venture office space. The company has additional property exposure through its limited portfolio of well-located retail space. It operates as a real estate investment trust.|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/c2xncmVlbi5jb20/images/2025-04-04_logo.png|78440X507||Finance Insurance And Real Estate|0001040971|4267226504.0|17
XNYS|7.0||||6798|Normal|False|USD||1645000.0|us||Real Estate|NexPoint Real Estate Finance Inc||2025-10-29T12:30:00.000+0000|300 CRESCENT COURT, SUITE 700, DALLAS, TX, 75201|11283057.0|BBG00W6VY5C2|PRF|US65342V4086|USA|Real Estate Investment Trusts|NREFpA:US||https://www.nexpointfinance.com||REIT - Mortgage|NREFpA||"NexPoint Real Estate Finance Inc is a real estate investment trust. The company provides structured financing solutions by investing in mid-sized multifamily, storage and select-service, and extended-stay hospitality properties. Its investment objective is to generate attractive, risk-adjusted returns for stockholders over the long term. The Company is focused on originating, structuring and investing in first-lien mortgage loans, mezzanine loans, preferred equity, convertible notes, multifamily properties, and common equity investments, as well as multi-family and single-family rental (""SFR"") commercial mortgage-backed securities securitizations (""CMBS securitizations""), multifamily structured credit risk notes (""MSCR Notes"") and mortgage-backed securities."|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/bmV4cG9pbnRmaW5hbmNlLmNvbQ/images/2023-11-01_logo.png|65342V408||Finance Insurance And Real Estate|0001786248|414690120.0|17
XNYS|7.0||||6021|Normal|True|USD||81000000.0|us||Financial Services|Bank Of America Corp.||2025-10-15T10:45:00.000+0000|BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, 28255|16559514685.0|BBG000001WW1|PRF|US0605058157|USA|National Commercial Banks|BACpE:US||https://www.bankofamerica.com||Banks - Diversified|BACpE||Bank of America is one of the largest financial institutions in the United States, with more than $3.2 trillion in assets. It is organized into four major segments: consumer banking, global wealth and investment management, global banking, and global markets. Bank of America's consumer-facing lines of business include its network of branches and deposit-gathering operations, retail lending products, credit and debit cards, and small-business services. The company's Merrill Lynch operations provide brokerage and wealth-management services, as does its private bank. Wholesale lines of business include investment banking, corporate and commercial real estate lending, and capital markets operations. Bank of America has operations in several countries but is primarily US-focused.|||||NATIONAL COMMERCIAL BANKS|Banking||||/YmFua29mYW1lcmljYS5jb20/images/2025-04-04_logo.svg|060505815||Finance Insurance And Real Estate|0000070858|356195160874.0|17
XNYS|7.0||||4922|Normal|True|USD||7400000.0|us||Energy|NGL Energy Partners LP||2025-11-06T12:00:00.000+0000|6120 S. YALE, SUITE 1300, TULSA, OK, 74136|27912687.0|BBG00GW2CPK3|PRF|US62913M2061|USA|Natural Gas Transmission|NGLpB:US||https://www.nglenergypartners.com||Oil & Gas Midstream|NGLpB||NGL Energy Partners LP is a USA-based firm that owns and operates a vertically integrated energy business. The company's operating segments include Crude Oil Logistics, Water Solutions, and Liquids Logistics. It operates crude oil Logistics, owns pipeline injection stations, and offers services for the treatment and disposal of wastewater generated from crude oil and natural gas production, as well as for the disposal of solids, such as tank bottoms and drilling fluids. The firm also supplies natural gas liquids to retailers, wholesalers, refiners, and petrochemical plants and sells propane and distillates.|||||NATURAL GAS TRANSMISSION|Utilities||||/bmdsZW5lcmd5cGFydG5lcnMuY29t/images/2025-04-04_logo.png|62913M206||Transportation Communications Electric Gas And Sanitary Service|0001504461|646459962.0|17
XNYS|7.0||||6798|Normal|True|USD||2400000.0|us||Real Estate|Cherry Hill Mortgage Investment Corporation||2025-11-10T10:59:00.000+0000|4000 ROUTE 66, SUITE 310, TINTON FALLS, NJ, 07753|5124483.0|BBG00HFFHZX0|PRF|US1646512004|USA|Real Estate Investment Trusts|CHMIpA:US||https://www.chmireit.com||REIT - Mortgage|CHMIpA||Cherry Hill Mortgage Investment Corp operates as a real estate investment trust in the United States. It invests in residential mortgage assets to generate current yields and risk-adjusted total returns for its stockholders over the long term, primarily through dividend distributions and secondarily through capital appreciation. The company's reportable segments include investments in Residential mortgage-backed securities (RMBS), Investments in Servicing Related Assets, and All Others. It generates maximum revenue from the RMBS segment in the form of Interest income earned for servicing mortgage loans.|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/Y2htaXJlaXQuY29t/images/2025-04-04_logo.png|164651200||Finance Insurance And Real Estate|0001571776|108972131.0|17
XNYS|7.0||||6798|Normal|False|USD||1800000.0|us||Real Estate|Cherry Hill Mortgage Investment Corporation||2025-11-10T10:59:00.000+0000|4000 ROUTE 66, SUITE 310, TINTON FALLS, NJ, 07753|4305552.0|BBG00N8BYQS1|PRF|US1646513093|USA|Real Estate Investment Trusts|CHMIpB:US||https://www.chmireit.com||REIT - Mortgage|CHMIpB||Cherry Hill Mortgage Investment Corp operates as a real estate investment trust in the United States. It invests in residential mortgage assets to generate current yields and risk-adjusted total returns for its stockholders over the long term, primarily through dividend distributions and secondarily through capital appreciation. The company's reportable segments include investments in Residential mortgage-backed securities (RMBS), Investments in Servicing Related Assets, and All Others. It generates maximum revenue from the RMBS segment in the form of Interest income earned for servicing mortgage loans.|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/Y2htaXJlaXQuY29t/images/2025-04-04_logo.png|164651309||Finance Insurance And Real Estate|0001571776|104194358.0|17
XNYS|7.0||||6798|Normal|True|USD||8000000.0|us||Real Estate|Digital Realty Trust Inc||2025-10-23T12:00:00.000+0000|2323 BRYAN STREET, SUITE 1800, DALLAS, TX, 75201|2631313913.0|BBG00HC74JS7|PRF|US2538688555|USA|Real Estate Investment Trusts|DLRpJ:US||https://www.digitalrealty.com||REIT - Specialty|DLRpJ||"Digital Realty owns and operates over 300 data centers worldwide. It has nearly 40 million rentable square feet across five continents. Digital's offerings range from retail co-location, where an enterprise may rent a single cabinet and rely on Digital to provide all the accommodations, to ""cold shells,"" where hyperscale cloud service providers can simply rent much, or all, of a barren, power-connected building. In recent years, Digital Realty has de-emphasized cold shells and now primarily provides higher-level service to tenants, which outsource their related IT needs to Digital. The company operates as a real estate investment trust."|||||REAL ESTATE INVESTMENT TRUSTS|Trading||||/ZGlnaXRhbHJlYWx0eS5jb20/images/2025-04-04_logo.svg|253868855||Finance Insurance And Real Estate|0001297996|59235600203.0|17
XNYS|7.0||||6311|Normal|False|USD||12000000.0|us||Financial Services|Voya Financial Inc||2025-11-03T10:59:00.000+0000|200 PARK AVENUE, NEW YORK, NY, 10166|304520983.0|BBG00PF3HH32|PRF|US9290892093|USA|Life Insurance|VOYApB:US||https://www.voya.com||Financial Conglomerates|VOYApB||Voya Financial Inc is a financial services company, which, through its subsidiaries, provides various investment, insurance, and retirement solutions to individual and institutional clients in the United States. Its products and services include tax savings plans, individual retirement accounts, group life insurance plans, and employee benefits products, among others. The company tailors each of its products to the needs of its customer base. It operates its business through three principal lines: Wealth Solutions, Investment Management, and Health Solutions The Wealth segment generates roughly half of the company's revenue.|||||LIFE INSURANCE|Insurance||||/dm95YS5jb20/images/2025-04-04_logo.svg|929089209||Finance Insurance And Real Estate|0001535929|7342000900.0|17
XNYS|7.0||||6021|Normal|False|USD||34160000.0|us||Financial Services|Bank Of America Corp.||2025-10-15T10:45:00.000+0000|BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, 28255|14154700698.0|BBG00LG6JBB5|PRF|US0605051954|USA|National Commercial Banks|BACpK:US||https://www.bankofamerica.com||Banks - Diversified|BACpK||Bank of America is one of the largest financial institutions in the United States, with more than $3.2 trillion in assets. It is organized into four major segments: consumer banking, global wealth and investment management, global banking, and global markets. Bank of America's consumer-facing lines of business include its network of branches and deposit-gathering operations, retail lending products, credit and debit cards, and small-business services. The company's Merrill Lynch operations provide brokerage and wealth-management services, as does its private bank. Wholesale lines of business include investment banking, corporate and commercial real estate lending, and capital markets operations. Bank of America has operations in several countries but is primarily US-focused.|||||NATIONAL COMMERCIAL BANKS|Banking||||/YmFua29mYW1lcmljYS5jb20/images/2025-04-04_logo.svg|060505195||Finance Insurance And Real Estate|0000070858|353584423436.0|17
XNYS|7.0||||6021|Normal|True|USD||25200000.0|us||Financial Services|Bank Of America Corp.||2025-10-15T10:45:00.000+0000|BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, 28255|16741827811.0|BBG000007YC3|PRF|US0605056334|USA|National Commercial Banks|BMLpG:US||https://www.bankofamerica.com||Banks - Diversified|BMLpG||Bank of America is one of the largest financial institutions in the United States, with more than $3.2 trillion in assets. It is organized into four major segments: consumer banking, global wealth and investment management, global banking, and global markets. Bank of America's consumer-facing lines of business include its network of branches and deposit-gathering operations, retail lending products, credit and debit cards, and small-business services. The company's Merrill Lynch operations provide brokerage and wealth-management services, as does its private bank. Wholesale lines of business include investment banking, corporate and commercial real estate lending, and capital markets operations. Bank of America has operations in several countries but is primarily US-focused.|||||NATIONAL COMMERCIAL BANKS|Banking||||/YmFua29mYW1lcmljYS5jb20/images/2025-04-04_logo.svg|060505633||Finance Insurance And Real Estate|0000070858|347058090522.0|17
